date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020/3/17,,SG,,4,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html
2020/3/17,,TI,,16,,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187486&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=d106aab74491da09b294ff13ffadd02f
2020/3/17,,BL,,1,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-89-bestaetigte-faelle-in-basel-landschaft
2020/3/17,,FR,,0,,,,,,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020/3/17,,JU,,1,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html
2020/3/17,,GL,,0,,,,,,https://www.suedostschweiz.ch/ereignisse/2020-03-20/die-zahl-der-corona-faelle-im-glarnerland-steigt-stark-an
2020/3/17,,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/3/17,16:00,AG,,0,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200317_KFS_Coronavirus_Lagebulletin_13.pdf
2020/3/18,,ZH,,7,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7
2020/3/18,,VD,,39,,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/
2020/3/18,,UR,,0,,,,,,https://www.ur.ch/mmdirektionen/63802
2020/3/18,,VS,,17,,,,,,https://www.vs.ch/documents/6756452/7008787/Sit%20Epid%20-%20%C3%89tat%20Stand%2025.03.2020.pdf
2020/3/18,,SG,,4,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html
2020/3/18,,BE,,9,,,,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020/3/18,,TI,,16,,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187493&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=7803bbc03dd49ef2e421dfd6b12dd239
2020/3/18,,BL,,1,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-116-bestaetigte-faelle-in-basel-landschaft
2020/3/18,,TG,,1,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552
2020/3/18,,SO,,1,,,,,,https://www.oltnertagblatt.ch/solothurn/kanton-solothurn/zivilschuetzer-kontrollieren-wer-in-die-solothurner-spitaeler-rein-will-137174885
2020/3/18,16:00,LU,,2,,,,,,https://web.archive.org/web/20200318191404/https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus
2020/3/18,,JU,,1,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html
2020/3/18,,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/3/18,16:00,AG,,0,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200318_KFS_Coronavirus_Lagebulletin_14.pdf
2020/3/18,17:00,FR,,0,,,,,,https://www.fr.ch/de/sr/gesundheit/covid-19/covid-19-im-kanton-freiburg-ist-ein-erster-todesfall-zu-beklagen
2020/3/19,,ZH,,7,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7
2020/3/19,,VD,,39,,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/
2020/3/19,,GR,,45,18,,,,,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx
2020/3/19,,VS,,17,,,,,,https://www.vs.ch/de/web/coronavirus#collapse6955818
2020/3/19,,SG,,4,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html
2020/3/19,,BE,,9,,,,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020/3/19,,TI,,16,2,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187499&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=634a783514bdcbb426c005f1ea916268 https://www.youtube.com/watch?v=34RQ7OOWYoI
2020/3/19,,BL,,1,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-131-bestaetigte-faelle-in-basel-landschaft
2020/3/19,15:00,AG,,3,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200319_KFS_Coronavirus_Lagebulletin_15.pdf
2020/3/19,,UR,,0,,,,,,https://www.ur.ch/mmdirektionen/63841
2020/3/19,,TG,,1,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552
2020/3/19,,NW,,0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044
2020/3/19,16:00,JU,,1,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html
2020/3/19,,GL,,0,,,,,,https://www.suedostschweiz.ch/ereignisse/2020-03-20/die-zahl-der-corona-faelle-im-glarnerland-steigt-stark-an
2020/3/19,,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/3/19,,FR,,1,,,,,,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020/3/20,,VD,,39,,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/
2020/3/20,,GR,,45,22,,,,,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx
2020/3/20,,VS,,17,,,,,,https://www.vs.ch/de/web/coronavirus
2020/3/20,8:00,TI,,18,2,,,,,https://www4.ti.ch/dss/dsp/covid19/home/ https://www.youtube.com/watch?v=34RQ7OOWYoI
2020/3/20,,SG,,4,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html
2020/3/20,,BE,,9,,,,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020/3/20,,BL,,1,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-170-bestaetigte-faelle-in-basel-landschaft
2020/3/20,12:00,UR,,0,,,,,,https://www.ur.ch/themen/2920
2020/3/20,,TG,,1,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552
2020/3/20,17:37,SO,,1,,,,,,https://twitter.com/KantonSolothurn/status/1241041303024041989?p=p
2020/3/20,,SH,,0,,,,,,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Gesundheitsamt-3209198-DE.html
2020/3/20,15:20,NW,,0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044
2020/3/20,9:40,LU,,2,,,,,,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus
2020/3/20,16:00,JU,,1,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html
2020/3/20,,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/3/20,,FR,,1,,,,,,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020/3/21,,ZH,,9,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7
2020/3/21,15:00,AG,,3,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200320_KFS_Coronavirus_Lagebulletin_16.pdf
2020/3/21,,VD,,75,,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/
2020/3/21,,GR,,64,22,,,,,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx
2020/3/21,,VS,,28,,,,,,https://www.vs.ch/de/web/coronavirus
2020/3/21,8:00,TI,,26,2,,,,,https://www4.ti.ch/dss/dsp/covid19/home/ https://www.youtube.com/watch?v=7g2sALU9bQM
2020/3/21,,BE,,18,,,,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020/3/21,14:00,BL,,1,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-282-bestaetigte-faelle-in-basel-landschaft
2020/3/21,8:00,UR,,0,,,,,,https://www.ur.ch/themen/2920
2020/3/21,,TG,,4,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552
2020/3/21,18:15,NW,,0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044
2020/3/21,11:00,LU,,4,,,,,,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus;https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAAuOzkQ6ZmQA%2FxRrLjJkeDWZdweUdKfwhAE94i2Apium%2F6rIvcF2Z5MaTtV52A77W2jrwVmrkZ8UhFPVmHC4iuI%3D
2020/3/21,18:00,JU,,2,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html
2020/3/21,,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/3/21,,SG,,10,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html
2020/3/21,12:00,SO,,2,,,,,,https://corona.so.ch/
2020/3/21,,FR,,6,,,,,,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020/3/22,,VD,,75,,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/
2020/3/22,,GR,,64,22,,,,,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx
2020/3/22,,VS,,28,,,,,,https://www.vs.ch/de/web/coronavirus
2020/3/22,8:00,TI,,26,2,,,,,https://web.archive.org/web/20200322153528/https://www4.ti.ch/dss/dsp/covid19/home/
2020/3/22,14:00,BL,,2,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-289-bestaetigte-faelle-in-basel-landschaft
2020/3/22,12:00,AG,,3,,,,,,https://www.ag.ch/de/aktuelles/medienportal/medienmitteilung/medienmitteilungen/mediendetails_139237.jsp
2020/3/22,,TG,,4,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552
2020/3/22,16:25,NW,,0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044
2020/3/22,15:00,NE,,6,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Pages/Coronavirus.aspx
2020/3/22,11:00,LU,,4,,,,,,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus
2020/3/22,17:00,JU,,2,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html
2020/3/22,13:30,GL,,0,,,,,,https://www.gl.ch/verwaltung/finanzen-und-gesundheit/gesundheit/coronavirus.html/4817#Fallzahlen
2020/3/22,,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/3/22,,FR,,6,,,,,,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020/3/23,,ZH,,11,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7
2020/3/23,,VD,,75,,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/
2020/3/23,8:00,TI,,26,2,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187510&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=0120f665ab49651b9d66c876ef272a91
2020/3/23,,VS,,28,,,,,,https://www.vs.ch/de/web/coronavirus
2020/3/23,,BE,,18,,,,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020/3/23,14:00,BL,,2,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-289-bestaetigte-faelle-in-basel-landschaft-1
2020/3/23,15:00,AG,,3,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200323_KFS_Coronavirus_Lagebulletin_17.pdf
2020/3/23,15:00,NE,,6,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Pages/Coronavirus.aspx
2020/3/23,,UR,,0,,,,,,https://www.ur.ch/themen/2920
2020/3/23,,TG,,4,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552
2020/3/23,,SH,,0,,,,,,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Gesundheitsamt-3209198-DE.html
2020/3/23,,OW,,0,,,,,,https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020/3/23,19:00,NW,,0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044
2020/3/23,11:00,LU,,4,,,,,,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus
2020/3/23,18:00,JU,,2,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html
2020/3/23,12:00,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/3/23,,FR,,6,,,,,,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020/3/24,9:30,ZH,,11,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7
2020/3/24,,VD,,75,,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/
2020/3/24,,GR,,64,22,,,,,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx
2020/3/24,8:00,TI,,29,2,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187520&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=4d581f57e92de04937175bab9e5b0f14
2020/3/24,16:00,VS,,28,,,,,,https://www.vs.ch/de/web/coronavirus
2020/3/24,,BE,,18,,,,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020/3/24,15:00,NE,,6,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Pages/Coronavirus.aspx
2020/3/24,15:30,BL,,2,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft
2020/3/24,15:00,AG,,3,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200324_KFS_Coronavirus_Lagebulletin_18.pdf
2020/3/24,12:00,UR,,0,,,,,,https://www.ur.ch/themen/2920
2020/3/24,,TG,,4,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552 & https://www.tg.ch/news/news-detailseite.html/485/news/44925
2020/3/24,0:00,SO,,2,,,,,,https://corona.so.ch/
2020/3/24,,SH,,0,,,,,,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Gesundheitsamt-3209198-DE.html
2020/3/24,,OW,,0,,,,,,https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020/3/24,15:15,NW,,0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044
2020/3/24,11:00,LU,,4,,,,,,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus
2020/3/24,17:00,JU,,2,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html
2020/3/24,13:30,GL,,0,,,,,,https://www.gl.ch/verwaltung/finanzen-und-gesundheit/gesundheit/coronavirus.html/4817#Fallzahlen
2020/3/24,12:00,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/3/24,,FR,,6,,,,,,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020/3/25,9:30,ZH,,11,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7
2020/3/25,,VD,,75,,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/
2020/3/25,,GR,,67,22,,,,,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx
2020/3/25,8:00,TI,,29,2,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187523&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=982795a2c13394282accc3a8506c9ba0
2020/3/25,15:00,VS,,28,,,,,,https://www.vs.ch/documents/6756452/7008787/Sit%20Epid%20-%20%C3%89tat%20Stand%2025.03.2020.pdf
2020/3/25,,BE,,18,,,,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020/3/25,,SG,,10,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html
2020/3/25,14:00,NE,,6,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Pages/Coronavirus.aspx
2020/3/25,14:00,BL,,3,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft
2020/3/25,15:00,AG,,3,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200325_KFS_Coronavirus_Lagebulletin_19.pdf
2020/3/25,18:00,JU,,2,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres/Evolution-des-cas-COVID-19-dans-le-Jura.html https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html
2020/3/25,,TG,,4,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552
2020/3/25,,SZ,,2,,,,,,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020/3/25,0:00,SO,,2,,,,,,https://corona.so.ch/
2020/3/25,8:00,SH,,0,,,,,,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Gesundheitsamt-3209198-DE.html
2020/3/25,,OW,,0,,,,,,https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020/3/25,15:30,NW,,0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044
2020/3/25,11:00,LU,,4,,,,,,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus
2020/3/25,13:30,GL,,0,,,,,,https://www.gl.ch/verwaltung/finanzen-und-gesundheit/gesundheit/coronavirus.html/4817#Fallzahlen
2020/3/25,12:00,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/3/25,,FR,,6,,,,,,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020/3/26,9:30,ZH,,11,2,,2,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7
2020/3/26,,VD,,75,,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/
2020/3/26,,GR,,67,22,,,,,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx
2020/3/26,8:00,TI,,29,2,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187529&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=8ce8f2f412a3bb9022fb4a28c9ad7fa4
2020/3/26,15:00,VS,,28,,,,,,https://www.vs.ch/de/web/coronavirus
2020/3/26,,BE,,18,,,,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020/3/26,,SG,,10,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html
2020/3/26,14:30,NE,,6,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Pages/Coronavirus.aspx
2020/3/26,,TG,,4,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552
2020/3/26,0:00,SO,,2,,,,,,https://corona.so.ch/
2020/3/26,14:00,BL,,3,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft
2020/3/26,15:00,AG,,3,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200326_KFS_Coronavirus_Lagebulletin_20.pdf
2020/3/26,,SZ,,2,,,,,,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020/3/26,16:00,JU,,2,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html
2020/3/26,,UR,,0,,,,,,https://www.ur.ch/themen/2920
2020/3/26,7:00,SH,,0,,,,,,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Gesundheitsamt-3209198-DE.html
2020/3/26,,OW,,0,,,,,,https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020/3/26,16:00,NW,,0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044
2020/3/26,11:00,LU,,4,,,,,,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus
2020/3/26,13:30,GL,,0,,,,,,https://www.gl.ch/verwaltung/finanzen-und-gesundheit/gesundheit/coronavirus.html/4817#Fallzahlen
2020/3/26,12:00,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/3/26,,FR,,6,,,,,,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020/3/27,9:30,ZH,,13,4,,4,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7
2020/3/27,,VD,,80,,,,,,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/point-de-situation-statistique-dans-le-canton-de-vaud/
2020/3/27,,GR,,67,22,,,,,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx
2020/3/27,8:00,TI,,29,2,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187533&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=0f01b9fd5e63dbb0f6f5cec02aa32b40
2020/3/27,15:00,VS,,28,,,,,,https://www.vs.ch/documents/6756452/7008787/Sit%20Epid%20-%20%C3%89tat%20Stand%2027.03.2020.pdf
2020/3/27,,BE,,20,,,,,,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html
2020/3/27,14:00,NE,,6,,,,,,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Pages/Coronavirus.aspx
2020/3/27,,TG,,4,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552
2020/3/27,11:00,LU,,4,,,,,,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus
2020/3/27,0:00,SO,,2,,,,,,https://corona.so.ch/
2020/3/27,,BL,,3,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft
2020/3/27,15:00,AG,,3,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200327_KFS_Coronavirus_Lagebulletin_21.pdf
2020/3/27,,SZ,,2,,,,,,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020/3/27,16:00,JU,,2,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Chiffres-H-JU/Evolution-des-cas-COVID-19-dans-le-Jura.html
2020/3/27,,UR,,0,,,,,,https://www.ur.ch/themen/2920
2020/3/27,7:30,SH,,0,,,,,,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Gesundheitsamt-3209198-DE.html
2020/3/27,,OW,,0,,,,,,https://www.ow.ch/de/verwaltung/dienstleistungen/?dienst_id=5962
2020/3/27,15:15,NW,,0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044
2020/3/27,13:30,GL,,0,,,,,,https://www.gl.ch/verwaltung/finanzen-und-gesundheit/gesundheit/coronavirus.html/4817#Fallzahlen
2020/3/27,12:00,GE,,0,,,,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger
2020/3/27,,FR,,6,,,,,,https://www.fr.ch/covid19/sante/covid-19/coronavirus-statistiques-evolution-de-la-situation-dans-le-canton
2020/3/28,14:00,ZH,,13,4,,5,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7
